CafeItemID,count,date
400,7,09/12/2021
413,10,09/06/2018
141,2,09/03/2019
55,4,08/09/2020
164,3,07/12/2019
241,5,13/03/2020
226,8,11/05/2018
458,11,18/04/2022
184,8,03/03/2021
303,7,26/01/2020
414,2,08/04/2020
435,11,24/03/2021
434,9,07/01/2018
34,15,14/06/2022
479,11,23/06/2020
320,8,06/09/2020
238,10,26/10/2018
426,5,01/09/2018
280,2,19/07/2022
145,4,23/08/2020
3,5,13/07/2022
160,14,10/11/2022
10,8,03/12/2018
366,9,09/07/2018
394,11,28/01/2018
227,9,27/02/2018
3,2,19/11/2018
117,1,21/03/2022
494,6,21/02/2021
348,9,22/11/2020
174,15,11/09/2022
40,8,01/05/2021
440,5,07/04/2018
43,10,23/12/2022
205,1,25/02/2019
323,11,05/06/2022
288,14,01/02/2021
204,6,04/03/2022
137,6,22/01/2022
123,4,04/08/2022
306,4,13/05/2020
454,8,27/11/2018
376,1,11/09/2019
350,11,21/12/2020
416,7,22/02/2018
383,2,16/03/2019
50,7,01/10/2018
456,7,13/10/2020
314,1,15/05/2022
370,13,23/03/2021
94,4,21/10/2020
346,4,13/04/2019
390,2,05/12/2018
499,12,24/09/2018
179,13,05/11/2018
373,10,04/12/2019
497,4,28/07/2018
461,10,08/12/2019
22,9,12/04/2018
344,12,01/09/2022
419,2,25/02/2021
140,10,06/03/2019
243,3,25/11/2019
442,11,02/01/2018
291,9,02/01/2022
315,8,06/02/2020
120,8,21/12/2020
112,8,06/05/2020
351,9,25/06/2019
160,7,28/04/2019
448,8,02/03/2021
389,11,03/05/2019
185,12,25/06/2022
439,15,03/01/2018
467,1,20/07/2020
494,5,03/01/2020
266,1,01/07/2022
322,2,11/12/2022
247,9,13/10/2021
20,5,05/05/2022
177,11,19/05/2022
127,12,24/01/2019
104,8,08/05/2022
18,9,02/12/2020
76,1,17/04/2018
490,7,10/02/2019
376,6,27/09/2018
303,7,11/12/2020
254,14,20/08/2018
351,15,02/09/2018
