Type,Description,Price,expiry_date
Cookie,Thumbprint Cookie,18.14,12/09/2029
Pastry,Pain au Raisin,13.57,17/06/2027
Salad,Seafood Salad,11.31,15/09/2020
Soda,Cactus Cooler,7.3,09/12/2020
Salad,Somen Salad,12.96,28/08/2021
Tea,Teh Chai,19.5,26/11/2027
Pastry,Pain au Lait,7.22,19/05/2024
Pastry,Pain au Levain,3.98,15/12/2026
Cookie,Peanut Butter Blossom,18.91,20/02/2027
Pastry,Pain aux Raisins,2.06,17/08/2023
Hot Drink,Chocolate Milk,6.46,14/06/2024
Cookie,Fortune Cookie,3.79,20/04/2024
Soda,Cherry 7 Up,3.25,27/07/2031
Salad,Carrot Salad,19.65,18/05/2022
Soda,Cherry A&W Root Beer,17.22,08/02/2025
Soda,Diet Coke Raspberry,1.37,05/04/2027
Salad,Tabbouleh,7.04,12/10/2032
Salad,Tuna Salad,1.61,20/06/2024
Pastry,Pain au Levain,1.6,05/05/2023
Soup,French Onion Soup,15.0,22/12/2023
Sandwich,Club Sandwich,12.73,06/12/2020
Sandwich,Ham Sandwich,12.25,23/08/2023
Soda,Diet Coke Orange,10.21,06/12/2027
Soda,Diet Coke Orange,1.82,27/11/2028
Soup,Vegetable Soup,1.72,02/04/2029
Cookie,Biscotti,7.18,20/07/2030
Cookie,Chocolate Chip Cookie,4.91,01/01/2026
Cake,Chiffon Cake,15.05,05/06/2018
Tea,Masala Chai,16.4,21/11/2021
Coffee,Black Coffee,1.84,18/06/2025
Tea,Teh Yerba Mate,1.96,23/10/2021
Coffee,Cafe Mocha,8.89,21/11/2032
Hot Drink,Chocolate Chai,14.23,25/07/2019
Soda,Diet Coke Cherry,6.14,12/10/2024
Sandwich,Egg Sandwich,4.2,13/06/2028
Sandwich,Pastrami Sandwich,18.49,22/06/2028
Cake,Tres Leches Cake,18.47,27/01/2021
Salad,Tuna Salad,5.68,15/06/2024
Hot Drink,Chocolate Milk,10.17,05/11/2028
Soup,Vegetable Soup,1.36,24/12/2022
Coffee,Viennese Coffee,4.25,26/08/2032
Coffee,Caffe Ristretto,1.03,09/08/2022
Coffee,Caffe Breve,11.24,21/08/2019
Soda,Diet Cherry Dr Pepper,13.48,02/05/2029
Sandwich,Monte Cristo Sandwich,13.46,28/09/2026
Sandwich,French Dip Sandwich,19.72,18/08/2022
Cookie,Fortune Cookie,6.63,23/09/2026
Cookie,Macaroon,12.88,22/08/2023
Salad,Salmagundi,18.65,14/10/2021
Soda,Diet Coke Cherry,3.83,18/02/2027
Sandwich,Turkey Sandwich,16.77,13/06/2024
Coffee,Cafe Melange,0.62,07/01/2020
Hot Drink,Chocolate Milk,16.37,08/04/2024
Salad,Shopska Salad,11.52,20/05/2022
Soda,Diet Coke,15.05,05/08/2026
Tea,Teh Chai,7.42,28/03/2023
Salad,Tabbouleh Salad,15.35,05/05/2019
Coffee,Cafe Macchiato,18.43,18/07/2027
Hot Drink,Chocolate Chai,0.57,20/03/2028
Hot Drink,Hot Chocolate,2.45,14/05/2022
Salad,Fruit Salad,3.54,19/01/2027
Pastry,Pain au Sucre,9.6,16/01/2020
Sandwich,Cheese Sandwich,1.43,10/10/2028
Cookie,Fortune Cookie,2.21,24/10/2019
Tea,Teh Halia,1.75,04/12/2028
Salad,Bean Salad,15.87,15/02/2021
Hot Drink,Hot Cocoa,8.75,22/09/2019
Cookie,Thumbprint Cookie,4.28,04/01/2029
Coffee,Espresso,14.52,24/09/2031
Soup,Lentil Soup,7.62,19/03/2031
Salad,Fruit Salad,5.56,19/02/2027
Cake,German Chocolate Cake,2.12,28/06/2022
Pastry,Cinnamon Roll,7.86,03/09/2028
Soup,Corn Chowder,1.4,05/08/2024
Cake,Cupcake,9.83,18/06/2018
Coffee,Caffe Tobio,15.69,18/02/2032
Pastry,Pain au Levain,15.35,24/10/2030
Cookie,Biscotti,10.75,20/04/2027
Sandwich,Monte Cristo Sandwich,18.64,05/07/2021
Coffee,Caffe Americano,1.47,01/06/2028
Coffee,Viennese Coffee,4.16,21/11/2027
Pastry,Pain au Lait,19.38,27/12/2020
Soda,Cherry Coke,6.24,21/04/2022
Cake,Cheesecake,14.39,22/01/2022
Soup,Clam Chowder,14.62,09/08/2032
Salad,Seafood Salad,4.85,11/11/2030
Soda,Diet Coke Orange,5.61,05/03/2032
Cookie,Peanut Butter Blossom,2.17,19/12/2018
Tea,Teh Ais,12.67,09/08/2027
Salad,Shopska Salad,0.63,10/03/2022
Cake,Pineapple Cake,12.0,19/02/2028
Salad,Green Bean Salad,3.48,20/02/2023
Cookie,Macaroon,5.02,19/04/2023
Coffee,Cafe Melange,3.86,05/12/2021
Cookie,Biscotti,14.31,04/09/2020
Tea,Teh Manis,8.71,02/08/2025
Coffee,Cafe Miel,0.82,10/11/2030
Hot Drink,Chocolate Coffee,19.34,19/03/2032
Soda,Diet Coke Lime,8.32,23/02/2029
Salad,Wedge Salad,4.98,10/07/2029
Coffee,Cafe Macchiato,4.68,05/01/2022
Hot Drink,Chocolate Chai,4.98,01/05/2023
Pastry,Danish,12.01,20/02/2028
Salad,Cobb Salad,9.79,24/04/2020
Pastry,Pain au Lard,13.28,22/12/2018
Cake,Tres Leches Cake,7.08,01/10/2028
Soda,Diet Cherry Canada Dry Ginger Ale,8.04,05/10/2026
Pastry,Pain au Lait,5.77,05/04/2028
Pastry,Pain au Sucre,16.51,21/06/2030
Pastry,Pain au Chocolat,3.08,26/02/2020
Coffee,Cafe Noisette,7.02,05/11/2031
Coffee,Cafe Con Mocha,11.45,15/07/2026
Tea,Teh Matcha,13.33,08/10/2020
Pastry,Danish,5.96,26/05/2026
Pastry,Pain au Fromage,3.51,07/05/2021
Salad,Tabbouleh Salad,6.95,22/05/2022
Sandwich,Sloppy Joe Sandwich,11.72,22/04/2025
Hot Drink,Hot Cocoa,10.41,25/10/2023
Sandwich,Sloppy Joe Sandwich,10.57,03/01/2020
Sandwich,Bologna Sandwich,15.99,12/08/2018
Sandwich,Pulled Pork Sandwich,14.07,28/06/2025
Hot Drink,Hot Chocolate,17.17,08/12/2022
Hot Drink,Chocolate Coffee,13.2,22/08/2026
Hot Drink,Hot Cocoa,13.58,28/11/2024
Coffee,Cafe Con Miel,9.56,14/03/2021
Coffee,Caffe Americano,9.68,04/04/2018
Tea,Teh Hijau,14.41,05/01/2030
Hot Drink,Chocolate Chai,19.27,24/04/2020
Hot Drink,Chocolate Milk,1.14,17/01/2031
Tea,Teh Putih,14.49,10/02/2018
Hot Drink,Hot Chocolate,9.16,18/03/2024
Soup,Tortilla Soup,10.31,06/10/2025
Sandwich,Reuben Sandwich,2.21,02/11/2018
Sandwich,Tuna Sandwich,16.76,20/04/2031
Cookie,Macaroon,4.81,03/10/2030
Cake,Ice Cream Cake,10.67,28/03/2018
Hot Drink,Chocolate Coffee,11.86,01/10/2020
Soup,Noodle Soup,12.09,25/01/2023
Coffee,Caffe Macchiato,14.53,16/07/2020
Hot Drink,Chocolate Milk,16.79,01/01/2028
Tea,Teh Halia,17.7,03/08/2032
Coffee,Cafe Con Mocha,17.04,09/12/2031
Soup,Italian Wedding Soup,17.61,14/05/2025
Soda,Diet Coke Raspberry,15.54,16/11/2019
Coffee,Cafe Con Leche,1.98,10/01/2018
Cake,Chocolate Cake,3.83,13/01/2032
Coffee,Caffe Latte,2.38,06/06/2023
Sandwich,Bacon Sandwich,10.37,06/07/2026
Soda,Diet Coke Raspberry,17.44,12/03/2018
Pastry,Cinnamon Roll,2.63,06/09/2030
Hot Drink,Hot Cocoa,10.13,28/06/2025
Cookie,Biscotti,14.45,09/04/2023
Hot Drink,Chocolate Chai,3.03,28/03/2026
Soup,Zuppa Toscana,3.68,12/08/2021
Cookie,Macaroon,12.91,03/05/2030
Salad,Caprese Salad,13.03,08/07/2029
Coffee,Latte,10.81,11/01/2023
Soup,Cream of Mushroom Soup,7.53,05/11/2018
Pastry,Pain aux Chocolat,3.53,06/01/2024
Hot Drink,Hot Chocolate,10.99,12/09/2032
Soup,Broccoli Soup,7.14,01/06/2022
Soda,Diet Coke,17.77,20/07/2026
Soda,Diet Coke Lemon,12.39,04/05/2018
Soda,A&W Root Beer,9.46,12/02/2030
Cookie,Fortune Cookie,2.67,18/11/2032
Salad,Fruit Salad,5.69,13/04/2020
Sandwich,Pastrami Sandwich,9.49,28/11/2018
Tea,Yellow Tea,5.17,08/07/2025
Tea,Teh Sosro,14.33,23/01/2018
Tea,Teh Pucuk,13.46,07/09/2026
Cookie,Thumbprint Cookie,18.09,13/11/2029
Tea,Teh Thailand,13.85,19/08/2031
Coffee,Irish Coffee,17.1,12/08/2030
Tea,Pu-erh Tea,4.43,13/12/2019
