LessonPlansID,StudentID,TeacherID,attended,student_behaviour,notes,Date
9,29,2,1,2,j1EUk6izfTaC0S3tIh1PoNsMtgy5bM1Ms901gfKl60K sFTJdBkAVeJsK9IZ,12/01/2014
8,10,7,0,1,62qdOtErV7qc7bOm3pvskJw3WLl WTtWhClzunNUgM2oIu6RRgojzUbBh6TB,26/12/2019
3,8,12,1,0,hG3uxpd06UhTYfGyKTFQdUSlanDHxw6BCrfr VMIwo9PftSF5D6gzFCufaiW,16/11/2010
11,6,20,0,3,jxuBeV835KBxhfiYXDXnRqkmEFCoi6KdGeiXVRJlHw5Sqh4xnZsj e2YYLlw,17/07/2021
12,13,12,1,4,D6TwF tgrnyD2weHGLMMwkCKuoIJDCrah5D fpMHINqjWoM8mcDG020wTW 9,25/12/2021
18,102,4,0,0,g7Tsa6RTNtymN0yS7Uh3gE5WmFVb46agC9zSxgNeFwRg9jE8MCDceEFOanKD,23/06/2022
6,81,18,1,4,3WzdsoLkcOoeJ7oE66gg 7S4PsxOELgWLH7ftkkV6ePnnr8srUkDMS8upyqo,10/03/2016
2,113,12,1,4,YEPaNtffglXFSawg6MDWd4Cd5QrVrc1JQAm08fr eZwvq3C9DprgUNvN2Hds,05/08/2013
17,101,1,0,1,l2J75PjJMzgaBlRLYVakSRBiQ0PxAipSag0vKfrQrEAQVfN6TxfCO0aX9yAX,16/11/2018
8,117,10,1,1,G5I83oWnRcTh8s2LWOhwfUVH2p2kClAukyyr6FXtbElU2LAXepBitCPOowEO,02/10/2012
10,40,3,0,0,t6si1hZNHPshqm1 h50j0CZ8iJpeQQ Qc9JWEwuR90JALARvmuKEvMXXbWQ ,28/02/2013
14,91,1,0,1,eQq08nI0IQVmVpxcsLadpnEpLOXlmW4ffs9vRvvRJ5Y2vz6m0E4WytFqz1PJ,07/04/2016
16,51,16,0,0,oTEtmkNUtU3Aj2hUJNmzP4zPV1LcV221uP2rN1HPQDZnghfkQYaf9v0Kp2jv,07/05/2016
12,24,10,1,3,4dMvCta5Z0HC168 RQ5GLwacVBdXBFjB2ygPN6oK3 ZkE0o A5JkuYFO3wOm,13/10/2014
14,7,4,0,0,176SQlvqlvNB8XKoqQbqlWsuI9RG7saTfNxudc7Viwh0ordYKlbHsHxa QLK,27/07/2017
2,84,11,1,4,V4AiJqVCsemqDPaBMDVf0UzSCkasAhp85tNaOD8CDCkCXIpmOr7EauFMPkZK,21/11/2017
12,119,12,1,3,qJng2hD0VAzvaexn6tvGdtCheUSy71i7TBCD8psTDdSCSrXVVFwqSFLOKN8A,25/03/2017
18,89,11,1,2,RxxL9jlU7SpZ4IvPgqx6pCTtMu0pZeiec jBJwFRu0kpysWBYcR0qTkYgAsp,03/09/2021
14,65,9,1,0,swIuEfAIw7eUIy5icbiDDx6GOYtbrVTGMe4Rs2m6bDuKoBx2yAy4szABKg3Z,08/02/2014
6,10,3,1,2,pJIX9fhEeqPUVXuRFJ8TyHMADoRTTNnBO4zS9wizELKDb0Bpttvs4VFBdocn,27/10/2015
16,91,4,0,4,E9d58BIdxTclKPh6jw1mLtdRULcYg1KbWCQj1QItrNhYe5 Wmlaz2cLclG6P,12/07/2013
3,44,9,1,4,LazP7ZZplcCYsZikyJK6TC8nPX9K129yl4uzWaqnWilktWvPGsWVEdpSHgDQ,01/07/2014
3,48,3,1,0,uZkVGBBh1 sYZU8KnlDkpUW3tAADtj039bBrUGIfFhphSRaxTalzwB4bmqin,03/12/2021
6,65,3,1,4,0mvScdsTgFe6uh3Hv8jl02wPPL2hOEhyjp1OBdoCwt pKJBMHgTYOWW5Pw9I,14/11/2015
1,117,1,0,3,OMfWhTqfdTVMyX3j4Ze4lvFXvx55VCgGwshD2C9hksWGNSwXxtvcctoMmYS0,18/10/2022
8,46,11,1,0,DXVWXrqAbBjpJgdBOSQ92voT16tSNtku8MNgxNTPSr7BbVHOa3OWOyfskGTA,22/02/2010
6,58,8,1,3,EpzNMIMCJislkDUQSEbSVJlOaHJHDCN5HmtNVmuTTDsvBXpas6mdmYpP9kbP,04/02/2012
19,45,6,1,3,f732QcO kV9BMoU9DNNwpQzz7iBamRx2c9G7L6hBCEJmJQPl XqrGceWFBOK,22/01/2018
9,32,13,0,0,sBPdTE5BpGmTJhnW57Fyp8wNYPUwAta5BaYvjtU59VJUdyahS9FuWpNA2BDa,13/11/2014
16,77,15,1,4,NZvLVmd1lKCgxuw j3x17LoXilwGmnQqmxO4yHioOpNaBEeuHOKZCJLaBIZe,17/09/2011
18,114,14,0,4,CRgp2Fpoqf9J9Uc1xtf6Z42iwqGfGBq1RBKMSr0PlFBT thVD5PUrd0TjHUs,24/03/2020
13,79,14,1,1,Z3wZKq1oxlyXxH4OaW20mfVrBqgMC1UR6N3y0f97uwj4O0 ie0PWtJi859T1,22/10/2018
17,8,15,1,3,6h0FBwRnbNgTTynWq7OFsf1Hc3 VO66pZiaSfnVPwj56UxJztAFu8VqyZGBL,05/10/2018
13,87,11,1,2,qzSUQZEvL82Y9XTlKblPTHOVP2FODsTp60Wv4X Jq3mx3qxN7Fcf5Kxx7Na9,04/01/2022
20,51,8,0,4,eqSlFOQGgqRNGEWg27ajYZ7kPjpfJbWq03TltoyrlUQRD54lC5dNkypzY3 s,09/02/2018
13,105,9,1,4,4xFHuxWhQ9GQrju5hM0tbZ13pQW5Gb531bRVzwGkK5zCwsrs7OOSW3D2WyrZ,07/01/2010
13,50,13,1,2,t3uSWzluF16rYM6oMWkA9zSTXqejoa7nSayvUlrflf75BCHsjH18ZXoutlLi,03/12/2014
3,59,12,1,2,zBpFA1jVZr2kVS9SOVnaBAhKB8gTgis3CKu2cgXooXV2niYcJZ40bQoeYy6H,25/10/2017
8,69,3,0,0,JghIkC22zbYhAhywYXP6nmpeDuFoyDa9i4qUPZDtAziO8drSdOWnCdDhWerD,14/05/2016
13,69,12,1,0,tbE ZkxiuAkJgmdGzv1m6K333lwFphDr0XYpz7zYmbyyYoYyCAiz WxcPYs1,12/08/2015
12,28,5,1,3,ZA1NaR6dsaCfpJo0TQm8K4DawfBl4 AFvE59 UiNFitTGhuB4RrLzL8Apa0d,06/02/2018
18,24,2,1,3,1oibEIErxW88h6i2PhmQGiBdKmqgbWrY3Sv63GYiS3zGKOwwzivqFABoAr p,13/08/2011
7,46,7,1,1,lRyJVmspBFCg8z RelrNS5MP0UQw8z QnEqP9rKoRVtaYSVgZ nTrcTLfl9E,24/04/2012
17,15,10,0,1,NtUTU0DsARolWn9H7fmj1TruEmvVGSxKDKIT4ypFKAB0N6PYjozsnyTkhA4z,09/10/2010
7,40,20,1,2,kutssfadqPInN7C2RxQnHah91Cvm0mKHw0RLoawlt6xk3KeozsP bF9ynWiU,14/11/2021
15,49,19,1,0,EzLKPFzAdwnh7WbYuR1nFEvOG2HJPTpINtDZ5IAVq1O5D5AP4IzNTFVliSje,05/07/2022
7,47,12,1,3,VpBEyXZgEFJaW8ueOZT8GSiDIFi77AeRLPx4fkW grvYWfr0vwBipTpCin79,10/05/2014
3,5,14,1,1,nPVhVsdf8Pu5LJntKLwxl nIuNseLEd8A8z9MbKMI4ViRKXYB8g4ElB4nOyQ,02/09/2012
4,54,13,0,3,H6PIDnaNIySZUgDegHS4EMuu1vqh5MVEwRxTIhEV8FMQQfTsFMNmDqv9i0dq,23/10/2013
9,41,1,0,3,EnIJotKzuCIZsCWRooQYGnWLnJDloJaxfypphjtHu8Yab4 5WMcCUPU4Fhw ,19/01/2015
3,10,7,0,4,ywEEarIMM746Jzid852AZCA98TKXNv9pnLcMnBlMIKu1BgDxLYCpl7ejXvVU,19/02/2016
11,8,2,1,0,yp6CumnmZuqloXfwbNinErdMaHdpHRW1YFFaWQij3rx21aS4pbklIpNG4uMn,24/01/2016
13,6,7,0,4,dWFzb19krNiD6kH7WGdVzKbEycXWwvCY2K w2RG YG3X3C3Z1COR87SuPBSB,24/12/2013
12,82,11,0,0, LYv1z9toDUdBKGR4IKDfGuL26mADxpdSkCYQnDSsjs  Hb6WJ6ldcsRqSkq,22/06/2014
20,60,10,1,0,0jtLbpgmKLVBVD0JzMJIbGP4 5VfRzukW0Tm7ZunoybwcjOn1QjEpm5EYVc4,01/07/2014
