MusicItemID,count,date
196,9,14/05/2021
263,10,16/08/2022
252,7,11/03/2019
425,7,01/01/2022
77,2,08/12/2020
184,13,10/02/2022
285,12,23/03/2022
253,3,19/05/2021
1,6,21/11/2020
268,15,05/10/2018
351,6,17/02/2021
1,13,09/11/2022
32,9,16/10/2021
311,5,26/04/2020
237,2,22/10/2018
101,2,24/11/2018
430,11,26/08/2021
340,1,05/07/2019
172,1,01/07/2019
222,14,18/09/2022
390,5,20/02/2018
23,3,16/01/2020
289,10,18/01/2018
205,7,01/07/2020
308,9,06/01/2018
465,7,06/11/2018
186,15,28/05/2018
38,15,24/09/2022
256,3,03/10/2019
36,15,01/07/2018
5,5,08/03/2018
404,4,25/09/2022
306,8,10/06/2019
494,10,23/12/2020
292,10,02/01/2019
266,11,18/04/2021
108,2,08/12/2019
116,13,13/03/2019
490,9,08/02/2021
359,10,20/03/2022
111,14,10/12/2020
474,7,11/01/2019
219,8,15/04/2019
114,9,18/06/2018
459,15,08/09/2020
287,12,05/01/2019
480,2,01/07/2021
424,3,25/12/2020
322,6,09/11/2020
123,1,17/05/2019
264,15,07/07/2020
452,15,02/08/2021
370,11,08/07/2022
403,1,19/08/2020
440,9,11/06/2022
4,6,03/06/2021
236,7,11/10/2018
182,15,17/06/2018
94,5,11/11/2022
446,10,19/04/2021
448,5,25/06/2022
375,3,09/08/2022
483,11,02/03/2018
421,10,14/12/2018
322,9,09/12/2019
91,13,03/11/2020
136,4,19/10/2018
251,4,21/10/2018
37,10,03/11/2022
400,5,25/01/2018
69,13,19/11/2019
491,11,02/11/2019
185,8,21/10/2022
363,6,09/05/2018
170,5,27/10/2022
131,8,21/02/2022
387,12,14/09/2018
363,8,26/01/2022
33,5,04/09/2019
485,1,12/11/2018
184,12,05/08/2019
79,5,04/10/2022
449,2,14/09/2019
289,5,20/06/2020
434,2,27/10/2019
417,10,26/02/2019
2,6,25/09/2019
150,14,01/04/2021
419,12,15/11/2021
485,8,03/02/2020
258,1,06/02/2018
165,5,17/07/2021
8,6,19/02/2018
408,4,27/07/2018
387,1,13/12/2020
172,6,03/09/2020
51,6,24/01/2018
344,1,04/04/2021
198,2,05/07/2018
389,11,18/04/2021
219,6,24/04/2018
281,12,12/12/2020
135,13,22/01/2018
433,14,01/02/2020
17,8,23/10/2018
13,2,24/05/2021
332,10,21/09/2021
157,9,20/06/2021
16,10,24/10/2020
334,11,19/12/2022
360,6,04/03/2022
373,8,03/05/2022
396,3,01/09/2022
84,3,24/08/2019
32,10,26/08/2019
117,6,08/08/2019
444,11,01/12/2018
441,10,11/08/2021
73,4,12/02/2021
27,4,05/06/2019
186,1,06/05/2021
95,6,24/03/2021
472,1,17/07/2018
307,3,05/12/2018
83,5,10/03/2018
226,3,07/01/2022
111,13,17/11/2020
213,2,28/05/2022
463,12,09/11/2022
204,8,28/07/2020
484,15,27/12/2018
41,1,18/03/2022
378,7,09/07/2021
127,9,08/05/2022
59,12,11/03/2019
83,2,11/07/2018
357,6,13/01/2021
239,4,21/11/2021
264,12,17/04/2020
90,5,12/04/2020
201,6,21/04/2020
406,12,10/01/2021
231,13,20/11/2022
165,1,07/01/2020
319,4,09/07/2019
342,12,25/08/2018
319,13,08/06/2019
135,13,20/01/2019
133,4,17/06/2018
418,14,05/05/2019
144,11,17/06/2018
224,7,03/05/2019
390,1,08/10/2022
230,15,11/11/2021
283,9,05/01/2020
348,14,25/02/2020
164,6,05/09/2022
42,1,14/12/2020
361,15,27/10/2019
432,1,26/01/2021
241,4,26/12/2018
260,11,19/04/2022
69,10,15/11/2020
364,1,03/05/2018
38,9,28/12/2020
172,12,20/04/2018
143,10,16/10/2021
258,5,19/07/2020
96,7,09/04/2022
91,2,08/06/2019
493,3,19/01/2018
420,4,05/03/2022
397,1,26/05/2020
388,6,08/01/2022
51,6,28/06/2021
487,13,17/07/2020
182,8,02/06/2018
188,5,02/05/2022
329,12,02/03/2020
350,14,21/05/2019
194,11,26/02/2022
84,1,02/08/2022
63,12,10/11/2020
175,6,08/09/2021
176,13,04/05/2022
452,11,14/05/2019
227,13,26/09/2022
42,13,23/10/2020
463,3,13/08/2020
394,12,02/08/2020
130,13,01/07/2021
279,11,28/12/2019
27,6,18/08/2020
160,7,01/09/2019
386,12,21/01/2022
359,11,11/06/2019
44,15,22/10/2022
220,3,18/03/2022
205,12,13/03/2019
466,6,19/12/2019
36,5,05/09/2020
167,14,03/02/2020
76,6,06/01/2020
306,14,14/02/2021
99,13,28/05/2020
414,3,02/06/2019
454,6,15/03/2020
127,1,24/10/2019
369,9,11/03/2021
287,14,27/01/2020
436,3,02/01/2018
323,1,12/04/2021
125,11,01/05/2022
30,8,09/02/2020
323,13,13/10/2021
297,10,06/05/2021
186,1,27/02/2022
219,15,14/06/2021
395,11,28/06/2019
32,10,27/05/2019
358,8,25/08/2019
267,8,27/08/2022
443,10,21/03/2019
268,6,13/03/2022
181,3,21/10/2022
40,3,03/06/2019
246,9,08/07/2019
147,5,08/04/2019
88,11,23/06/2020
326,15,22/07/2020
12,4,08/11/2021
244,7,19/10/2020
429,2,06/04/2020
52,7,07/04/2020
289,5,14/12/2018
117,12,02/01/2019
379,3,11/10/2018
242,2,06/10/2020
390,15,18/04/2021
120,11,07/03/2022
483,11,09/02/2022
248,5,13/02/2020
304,2,15/04/2022
251,4,21/12/2020
225,10,17/10/2020
219,15,14/05/2019
87,3,25/09/2020
74,7,15/10/2019
304,2,10/04/2021
355,8,02/11/2019
356,3,09/07/2020
114,3,25/09/2020
18,1,26/05/2019
233,13,10/06/2022
125,10,27/02/2022
217,11,28/07/2020
380,5,02/06/2020
22,5,04/06/2021
342,14,08/10/2018
99,5,01/08/2020
256,11,26/02/2021
361,12,18/06/2022
271,12,21/05/2021
144,9,22/01/2019
468,15,11/07/2022
237,4,23/09/2020
6,13,10/12/2018
470,12,08/08/2018
221,11,10/05/2019
186,15,14/03/2021
441,5,06/09/2019
291,11,11/09/2022
180,3,22/03/2019
84,5,26/01/2022
136,3,15/08/2018
149,5,08/04/2020
19,3,22/05/2022
400,3,10/06/2018
454,7,25/06/2021
167,1,11/11/2018
402,2,05/01/2021
69,14,21/08/2018
255,4,23/09/2021
466,6,11/02/2022
37,4,10/05/2021
425,9,25/12/2018
376,3,21/05/2020
13,6,05/01/2021
145,6,05/03/2018
279,9,28/01/2019
16,8,04/06/2022
