Brand,Type,Model,Price,serial_num
Epiphone,Electric,Les Paul,1369.49,8V3V8PJA9K
Schecter,Classical,JEM,748.21,7YDP6MMS7P
Jackson,Bass,Warlock,555.35,WRHAUNQAHM
Ibanez,Acoustic,JEM,541.52,CJ9SSEIKMC
Schecter,Acoustic,PRS Custom 24,733.11,XEN3D2YVVI
PRS,Electric,Flying V,1837.36,813NPY5LRF
Epiphone,Classical,Telecaster,1430.52,Y7527F4SU3
Jackson,Bass,Warlock,1726.9,T66CI4ZSL3
Fender,Classical,Les Paul,764.23,UO7ZXJ6CHX
Epiphone,Electric,JEM,1685.12,C5TKGMIEON
ESP,Bass,SG,1340.37,HS0BXIC4OL
Schecter,Acoustic,Stratocaster,79.27,KJUTR84LNX
Schecter,Acoustic,Telecaster,719.72,QQYBFEP00A
ESP,Electric,Warlock,485.77,CX51UCOU2L
Epiphone,Acoustic,JEM,1919.88,I8A41TJURV
PRS,Electric,PRS Custom 24,1561.16,42AIECBILV
Schecter,Bass,PRS Custom 24,1971.15,JK870DN95W
Fender,Acoustic,Stratocaster,1580.43,896AYQD3XU
Schecter,Acoustic,Telecaster,1667.27,HVWHBT1MNG
Schecter,Electric,JEM,126.82,JQQSFP21GL
Fender,Bass,SG,1066.89,5BTWWO4DFU
Ibanez,Acoustic,PRS Custom 24,1250.91,22NDS2ELEA
Schecter,Acoustic,Explorer,1268.13,5L3STMRN68
Epiphone,Classical,Telecaster,639.21,8R3DEEFIXK
Ibanez,Acoustic,Warlock,793.83,Q606AVFH36
Schecter,Classical,Stratocaster,441.84,5254GYP3O5
Ibanez,Classical,Les Paul,863.79,ISKMPDLMNV
Fender,Electric,Warlock,329.01,PG8MSSDWL5
Fender,Classical,Flying V,285.32,001QRDX2CT
PRS,Classical,Flying V,1270.81,Y4Z47Q17A1
Jackson,Bass,Stratocaster,1502.72,19Q2FC9BUM
Fender,Acoustic,Stratocaster,1557.1,JMNVJL2K0U
Schecter,Electric,JEM,250.83,3XWA0T1H6F
PRS,Classical,PRS Custom 24,302.75,PL0220DQTU
PRS,Acoustic,JEM,398.81,VF0E1N9AWT
ESP,Electric,Telecaster,1487.47,8WLHPLU5SC
Fender,Bass,Explorer,310.91,0EIJV54VUK
Gibson,Bass,PRS Custom 24,718.4,BDYXWSPFNP
Gibson,Bass,Warlock,1419.21,Y6V52HODC5
ESP,Bass,Flying V,932.1,DD0VAHW19X
ESP,Bass,PRS Custom 24,871.86,1LJL6VGRNS
Schecter,Classical,SG,296.75,YLU55QNIFZ
Gibson,Classical,Flying V,1052.85,C5JSS5WAIS
PRS,Classical,Les Paul,1810.27,R3Y4MN78T8
ESP,Classical,Telecaster,133.58,M5DSNZOMV0
Fender,Acoustic,Les Paul,1340.49,JVF1GRLHLH
Schecter,Bass,Stratocaster,282.72,HF3I0J5EB9
Fender,Bass,Stratocaster,1718.12,Y1M8HXV4BN
Jackson,Bass,Les Paul,1616.49,ZIBYRXSI4S
Gibson,Electric,Flying V,345.43,WUBO8XUW1W
Jackson,Classical,Les Paul,988.94,KWW4FR3FY2
Epiphone,Classical,JEM,1036.97,1R4KOO0WHQ
Jackson,Classical,Stratocaster,916.24,1636JWT9GO
Ibanez,Classical,PRS Custom 24,595.78,BI0BL756NZ
Fender,Electric,Stratocaster,1700.66,5DMEHHVF0I
Epiphone,Classical,SG,620.54,QE7JRH12VJ
ESP,Acoustic,Explorer,1793.73,M17IJQ05IR
Gibson,Acoustic,SG,1073.09,9SYIJC3R59
ESP,Bass,JEM,1837.14,DNQ9BL5SW6
Schecter,Classical,Stratocaster,301.11,T0PRPRWTI8
Epiphone,Classical,SG,1184.53,NNAS7UQP88
